"stock","timeStamp","month","open","high","low","close","change"
"VGUARD","2019-01-10 00:00:00","January","205.45","208","205.2","207.35","0.00925"
"VHL","2019-01-10 00:00:00","January","2540","2625","2528","2529.55","-0.00411"
"VICEROY","2019-01-10 00:00:00","January","4.9","4.9","4.65","4.9","0"
"VIDHIING","2019-01-10 00:00:00","January","83.7","85.9","83.05","84.4","0.00836"
"VIJIFIN","2019-01-10 00:00:00","January","1.85","1.85","1.85","1.85","0"
"VIKASECO","2019-01-10 00:00:00","January","15.1","15.5","14.5","14.95","-0.00993"
"VIKASPROP","2019-01-10 00:00:00","January","4.22","4.22","4.22","4.22","0"
"MOIL","2019-01-10 00:00:00","January","168.3","168.3","167","167.3","-0.00594"
"MOL","2019-01-10 00:00:00","January","260.3","262.44","259.26","261.35","0.00403"
"MOLDTECH","2019-01-10 00:00:00","January","44.75","45","43.8","44.6","-0.00335"
"MOLDTKPAC","2019-01-10 00:00:00","January","260.3","262.44","259.26","261.35","0.00403"
"MONARCH","2019-01-10 00:00:00","January","39.6","41.95","39.6","40","0.0101"
"MONTECARLO","2019-01-10 00:00:00","January","381","384","381","383.55","0.00669"
"MORARJEE","2019-01-10 00:00:00","January","25.35","25.35","24.3","24.8","-0.0217"
"MOREPENLAB","2019-01-10 00:00:00","January","21.75","22.25","21.5","21.8","0.0023"
"MOTHERSUMI","2019-01-10 00:00:00","January","162.05","162.9","160.5","161.95","-0.00062"
"MOTILALOFS","2019-01-10 00:00:00","January","684.05","694.45","680.75","686.4","0.00344"
"MOTOGENFIN","2019-01-10 00:00:00","January","24.5","25","24.15","24.5","0"
"MPHASIS","2019-01-10 00:00:00","January","904","917.1","890","903.55","-0.0005"
"MPSLTD","2019-01-10 00:00:00","January","475.1","483","471.25","480.65","0.01168"
"MRF","2019-01-10 00:00:00","January","66249","67094.95","65909","66700.7","0.00682"
"MRO-TEK","2019-01-10 00:00:00","January","44.9","45.25","42.2","43.95","-0.02116"
"MRPL","2019-01-10 00:00:00","January","71.9","71.9","70.05","71","-0.01252"
"MSPL","2019-01-10 00:00:00","January","12.85","12.9","12.6","12.65","-0.01556"
"MTEDUCARE","2019-01-10 00:00:00","January","64.05","64.1","56.7","61.2","-0.0445"
"MTNL","2019-01-10 00:00:00","January","15.2","15.6","15.15","15.3","0.00658"
"MUKANDENGG","2019-01-10 00:00:00","January","22.7","22.95","22.05","22.55","-0.00661"
"MUKANDLTD","2019-01-10 00:00:00","January","59.55","60.5","59","60.05","0.0084"
"MUKTAARTS","2019-01-10 00:00:00","January","39","40.9","38.15","39.85","0.02179"
"MUNJALAU","2019-01-10 00:00:00","January","57.95","58.5","57.5","57.8","-0.00259"
"MUNJALSHOW","2019-01-10 00:00:00","January","180.5","180.5","177.6","178.8","-0.00942"
"MURUDCERA","2019-01-10 00:00:00","January","24.15","24.5","23.3","23.9","-0.01035"
"MUTHOOTCAP","2019-01-10 00:00:00","January","928.75","933.25","912","918.2","-0.01136"
"MUTHOOTFIN","2019-01-10 00:00:00","January","516.7","529.9","515.7","524.55","0.01519"
"NACLIND","2019-01-10 00:00:00","January","27.8","28.25","27.6","27.85","0.0018"
"NAGAFERT","2019-01-10 00:00:00","January","8.65","9.55","8.65","9.2","0.06358"
"NAGREEKCAP","2019-01-10 00:00:00","January","16","16.4","15.65","15.95","-0.00313"
"NAGREEKEXP","2019-01-10 00:00:00","January","30.9","30.9","26.25","26.75","-0.1343"
"NAHARCAP","2019-01-10 00:00:00","January","92.6","94.7","92.05","93.55","0.01026"
"NAHARINDUS","2019-01-10 00:00:00","January","53.5","53.7","51.4","52.55","-0.01776"
"NAHARPOLY","2019-01-10 00:00:00","January","38.05","41.05","38.05","39.45","0.03679"
"NAHARSPING","2019-01-10 00:00:00","January","90.2","91.5","90.1","90.4","0.00222"
"NAM-INDIA","2019-01-10 00:00:00","January","157.15","157.4","155.8","156.5","-0.00414"
"NATCOPHARM","2019-01-10 00:00:00","January","689.85","694.85","685","685.7","-0.00602"
"NATHBIOGEN","2019-01-10 00:00:00","January","420.25","420.25","414.25","415.9","-0.01035"
"NATIONALUM","2019-01-10 00:00:00","January","62.65","63.05","62.35","62.75","0.0016"
"NATNLSTEEL","2019-01-10 00:00:00","January","6.95","6.95","6.7","6.8","-0.02158"
"NAUKRI","2019-01-10 00:00:00","January","1634.9","1719.95","1573.15","1586","-0.02991"
"NAVINFLUOR","2019-01-10 00:00:00","January","683.6","695.9","675","678.4","-0.00761"
